status_code,label,definition,applies_to,required_qualifier,does_not_establish,allowed_transition,evidence_required
preprint_not_peer_reviewed,Preprint,"Public scholarly manuscript without established completed journal peer review","Six canonical preprints","Identify the deposited version and repository","Journal acceptance; peer review; independent validation","published_journal_article only with a verified journal record","Public repository record and exact version metadata"
protocol_planned_no_results,Protocol,"Public document specifying planned methods without a completed-results claim","PINNACLE-TRAJ; PINNACLE-VAL; systematic-review protocol","State that methods or analyses are planned","Completed findings; prospective registration","results_available only when a distinct results record is public","Protocol record and date"
preliminary_operational_evidence,Preliminary operational evidence,"Reported observations from routine operational data under stated limits","AbilityScore technical monograph","Describe findings as preliminary operational evidence","Completed formal comparator or concurrent-validity result","validated_result only with a separately published validation analysis","Monograph methods, results and limitations"
framework_report_source_claims,Framework report,"Repository report whose scope and claims come from the deposited source","PGAF report","Identify it as a report and attribute claims to the source","Peer review; independent validation; endorsement","independently_validated only with external evidence","Canonical report record and source text"
systematic_review_protocol_unregistered_no_results,Systematic-review protocol,"Review protocol with planned eligibility and synthesis methods","TherapeuticAI review protocol","State that no review results are reported and registration is not established","Completed review; registered protocol","registered_protocol or completed_review with a verified destination record","Protocol record and registration check"
retrospective_registration_companion,Retrospective registration companion,"Registration created after some planned analyses had already run","PINNACLE-VAL OSF 10.17605/OSF.IO/78WF5","Disclose the retrospective timing","Prospective preregistration","results_linked when the exact results record is added","Registration record, timestamp and timing disclosure"
alternative_repository_version_same_study,Alternative repository version of same study,"Platform-specific version of an underlying work","RCI Research Square v1 and Zenodo v2.0","Cite the version actually used and describe one underlying study","An additional independent study","superseded_version or version_of through an explicit relationship","Both repository records and version reconciliation"
repository_mirror,Repository mirror,"A public copy or metadata aid for an existing canonical record","GitHub research-library files","Identify the canonical source of record","New study; independent citation; endorsement","search_indexed or independently_cited only with destination-specific evidence","Public URL, source link and content match"
submitted_technical_check,Submitted technical check,"Correction or review request delivered to a platform and awaiting disposition","OpenAlex and ScienceOpen support requests","Use submitted or pending until the platform changes","Approved correction; public change","approved_public after direct platform verification","Receipt or ticket plus later public-state verification"
public,Public,"Destination renders to an unauthenticated reader","Repository, profile or discussion route","Name the checked URL and check time","Search indexing; citation; endorsement","search_indexed with search-engine evidence","Anonymous response and expected content marker"
search_indexed,Search indexed,"A search service returns the exact public record","Any public record","Name the engine and query or result URL","High ranking; citation; endorsement","independently_cited only with a verified scholarly citation","Search result evidence"
independently_cited,Independently cited,"A third-party scholarly work cites the research","Canonical work or version","Identify the citing work and citation context","Endorsement; validation; causal impact",,"Citing scholarly record and inspected reference/context"
