resource,category,audience,purpose,evidence_boundary,canonical_url
RESEARCH_PORTFOLIO_OVERVIEW.md,navigation,readers and profile editors,Map the seven canonical works to source records and summaries,Navigation aid only; adds no study or result,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCH_PORTFOLIO_OVERVIEW.md
RESEARCH_METADATA_INDEX.md,navigation,metadata curators,Index structured portfolio metadata and reconciliation aids,Metadata description does not establish indexing or peer review,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCH_METADATA_INDEX.md
METHODS_RESOURCE_INDEX.md,navigation,methods reviewers,Index reusable implementation and audit resources,Methods aids add no clinical result,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/METHODS_RESOURCE_INDEX.md
OPEN_SCIENCE_CHANGELOG.md,provenance,reviewers and maintainers,Trace public open-science resource releases,Release history does not create new studies,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/OPEN_SCIENCE_CHANGELOG.md
CITATION.cff,citation,citation managers,Provide repository-level citation metadata,Repository citation is distinct from individual work citation,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CITATION.cff
CANONICAL_CITATIONS_CSL.json,citation,citation managers,Provide machine-readable citations for seven works,Cite original Zenodo DOIs and preserve work types,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CANONICAL_CITATIONS_CSL.json
CANONICAL_DOI_RESOLUTION_MANIFEST.csv,verification,metadata curators,Record canonical DOI destinations and verification fields,Resolution does not establish peer review or independent citation,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CANONICAL_DOI_RESOLUTION_MANIFEST.csv
CANONICAL_WORK_STATUS_MATRIX.csv,evidence status,profile editors,State work type and publication status consistently,Six preprints and one report; protocol status must be retained,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CANONICAL_WORK_STATUS_MATRIX.csv
CANONICAL_WORK_RELATIONSHIP_MAP.csv,versioning,metadata curators,Describe canonical and companion relationships,Multiple versions and files are not separate studies,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CANONICAL_WORK_RELATIONSHIP_MAP.csv
AUTHOR_CONTRIBUTOR_ROLE_MAP.csv,identity,profile editors,Preserve author editor and research-group roles,Koti and Sreeja must remain distinct,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/AUTHOR_CONTRIBUTOR_ROLE_MAP.csv
SCHOLARLY_PROFILE_FIELD_MAP.csv,identity,profile editors,Map verified facts to common profile fields,BHCL is affiliation; ISB is completed online executive education,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/SCHOLARLY_PROFILE_FIELD_MAP.csv
SCHOLARLY_PROFILE_RECONCILIATION_GUIDE.md,identity,profile editors,Guide safe reconciliation across scholarly profiles,Profile presence is not indexing or endorsement,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/SCHOLARLY_PROFILE_RECONCILIATION_GUIDE.md
RESEARCHER_SUMMARIES.jsonld,identity,search systems,Provide reusable source-bounded researcher summaries,Summaries must preserve roles and evidence status,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCHER_SUMMARIES.jsonld
RESEARCHER_SUMMARY_REUSE_GUIDE.md,identity,research communicators,Explain safe reuse of researcher summaries,No qualification membership or endorsement may be inferred,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCHER_SUMMARY_REUSE_GUIDE.md
RESEARCH_AUDIENCE_MAP.csv,dissemination,research communicators,Match resources to legitimate research audiences,Audience mapping is not promotion or evidence of impact,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCH_AUDIENCE_MAP.csv
RESEARCH_RESOURCE_MAP.csv,discovery,readers,Map questions to public source-grounded resources,Links do not convert protocols into results,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCH_RESOURCE_MAP.csv
EVIDENCE_STATUS_VOCABULARY.csv,evidence status,metadata curators,Normalize protocol preprint report and verification terms,Use the narrowest supported status,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/EVIDENCE_STATUS_VOCABULARY.csv
CANONICAL_ABSTRACT_BOUNDARY_NOTES.csv,evidence status,profile editors,Prevent abstract summaries from exceeding source evidence,No unpublished result should be implied,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/CANONICAL_ABSTRACT_BOUNDARY_NOTES.csv
METADATA_QA_CHECKLIST.md,quality assurance,metadata curators,Check identity version DOI role and status fields,A passed checklist is not independent validation,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/METADATA_QA_CHECKLIST.md
METADATA_CORRECTION_CONTRIBUTION_GUIDE.md,governance,contributors,Provide a source-first correction route,Corrections require traceable evidence,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/METADATA_CORRECTION_CONTRIBUTION_GUIDE.md
PORTFOLIO_INTEGRITY_MANIFEST.csv,provenance,auditors,Expose integrity and evidence-boundary checks,Manifest checks do not establish study quality,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/PORTFOLIO_INTEGRITY_MANIFEST.csv
ro-crate-metadata.json,interoperability,repositories and preservation systems,Describe the portfolio as an RO-Crate graph,Packaging metadata adds no result or endorsement,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/ro-crate-metadata.json
REGULATORY_DOCUMENT_EVIDENCE_MATRIX.csv,methods,regulatory researchers,Separate source documents from interpretations,Case-study interpretation is not regulator endorsement,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/REGULATORY_DOCUMENT_EVIDENCE_MATRIX.csv
PINNACLE_VAL_VARIABLE_DICTIONARY.csv,methods,psychometric researchers,Define planned variables for PINNACLE-VAL,Planned variables are not completed analyses,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/PINNACLE_VAL_VARIABLE_DICTIONARY.csv
PARTICIPATION_REVIEW_EXTRACTION_SCHEMA.csv,methods,review researchers,Provide a structured extraction schema for the planned review,Schema is not a completed review or result,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/PARTICIPATION_REVIEW_EXTRACTION_SCHEMA.csv
RESEARCHER_PROFILE_DIRECTORY.md,identity,readers and profile editors,Provide one source-bounded directory of public researcher routes,Profile presence is not indexing citation peer review or endorsement,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCHER_PROFILE_DIRECTORY.md
RESEARCHER_PROFILE_ENDPOINTS.csv,identity,machine users and profile editors,Expose public profile routes and platform-specific boundaries,Endpoint presence does not establish work synchronization,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/RESEARCHER_PROFILE_ENDPOINTS.csv
SCHOLARLY_IDENTITY.jsonld,identity,search systems,Provide a canonical-ORCID Person graph with source-matched routes,SameAs links do not endorse displayed metadata,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/SCHOLARLY_IDENTITY.jsonld
PROFILE_SOURCE_PRIORITY_MATRIX.csv,quality assurance,metadata curators,Map profile fields to controlling sources and prohibited inferences,Source priority does not replace destination review,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/PROFILE_SOURCE_PRIORITY_MATRIX.csv
PROFILE_DISCOVERY_BOUNDARIES.md,verification,profile editors,Separate saved public indexed cited and endorsed states,A public profile is not evidence of independent impact,https://github.com/drkotireddysaripalli/pinnacle-research-library/blob/main/PROFILE_DISCOVERY_BOUNDARIES.md
