work_doi,short_label,resource,resource_role,status_boundary
10.5281/zenodo.19482123,AbilityScore monograph,Pinnacle_Research_Library.ris,"Citation-manager import","Preliminary operational evidence; not completed concurrent validity"
10.5281/zenodo.19482476,PINNACLE-VAL protocol,PINNACLE_VAL_VARIABLE_DICTIONARY.csv,"Planned variable definitions","Planned n=300/60 are targets"
10.5281/zenodo.19482476,PINNACLE-VAL protocol,PINNACLE_VAL_ANALYSIS_DECISION_REGISTER.md,"Analysis-decision provenance","Retrospective OSF timing remains explicit"
10.5281/zenodo.19482476,PINNACLE-VAL protocol,PINNACLE_VAL_COMPARATOR_MAPPING.csv,"Comparator and anchor roles","No completed validation result"
10.5281/zenodo.19482476,PINNACLE-VAL protocol,PINNACLE_VAL_RESULTS_REPORTING_TEMPLATE.md,"Results-reporting shell","Blank template; no result is asserted"
10.5281/zenodo.22761782,Regulatory case,REGULATORY_DOCUMENT_EVIDENCE_MATRIX.csv,"Source-document evidence map","Dated documentary case; not a legal determination"
10.5281/zenodo.22761810,RCI analysis,RCI_DATA_README.md,"Reproduction guide","Fixed 4 February 2026 source snapshot"
10.5281/zenodo.22761810,RCI analysis,RCI_REPRODUCTION_CHECKLIST.md,"Per-run validation receipt","Not independent certification or RCI endorsement"
10.5281/zenodo.22761810,RCI analysis,RCI_COUNTING_RULES.csv,"Analytical-unit and metric rules","Listed codes are not active capacity"
10.5281/zenodo.22761810,RCI analysis,RCI_LIMITATIONS_MATRIX.csv,"Output-linked non-inference matrix","No practitioner-supply or population-access inference"
10.5281/zenodo.22761832,PINNACLE-TRAJ protocol,PINNACLE_TRAJ_COHORT_CONSTRUCTION_SPEC.md,"Cohort construction specification","Protocol only; approvals and registration remain source-bounded"
10.5281/zenodo.22761832,PINNACLE-TRAJ protocol,PINNACLE_TRAJ_MISSINGNESS_SENSITIVITY_MATRIX.csv,"Planned missing-data analyses","No achieved cohort or result"
10.5281/zenodo.22827813,Participation review protocol,PARTICIPATION_REVIEW_EXTRACTION_SCHEMA.csv,"Planned review extraction fields","Unregistered protocol; no completed review"
10.5281/zenodo.22827813,Participation review protocol,PARTICIPATION_REVIEW_READINESS_LEDGER.csv,"Human confirmation and access ledger","Blank readiness structure; no completed review"
10.5281/zenodo.15487405,PGAF report,AUTHOR_CONTRIBUTOR_ROLE_MAP.csv,"Creator/editor/contributor provenance","Editor and ResearchGroup contributor are not co-authors"
