limitation_id,topic,what_was_observed,what_is_not_established,interpretive_consequence,affected_files_or_outputs,source_location
L01,fixed_snapshot,"A 113-page official RCI PDF dated 4 February 2026","Current approval or operation after the snapshot","Describe every count as belonging to the selected dated snapshot","All extraction, count and metric outputs","RCI_DATA_README.md; DOI 10.5281/zenodo.22761810"
L02,analytical_unit,"1068 distinct printed institution codes","1068 active physical campuses","Use institution code or listed entry rather than campus or active institution","Institution-level extraction and national total","RCI_DATA_README.md"
L03,programme_capacity,"The source supports listed institution entries","Approved courses, programme periods, annual seats, graduates or throughput","Do not convert entry counts into training capacity","Jurisdiction counts and manuscript interpretation","RCI_DATA_README.md; version 2 scope"
L04,workforce_supply,"Geographic distribution of listed codes","Practitioner supply, service availability or workforce shortage","Do not use counts as a clinician or service denominator","Counts, rank, HHI and Gini outputs","RCI_DATA_README.md"
L05,population_denominator,"Counts across 36 equally weighted jurisdictions","Population-adjusted access, need or equity","Describe geographic concentration only","Lorenz, Gini, HHI and rank outputs","RCI_DATA_README.md"
L06,quality_ownership,"Source-supported labels and entries","Institutional quality, ownership, endorsement or current legal identity","Avoid quality or ownership comparisons and treat labels as source-supported display text","Institution labels and all summaries","RCI_DATA_README.md"
L07,validation_method,"Computational checks plus targeted source inspection","Independent human double extraction or external certification","State the validation method and its limits","Validation report and reproduction receipt","RCI_REPRODUCTION_CHECKLIST.md"
L08,extraction_routes,"980 table-cell records and 88 coordinate-derived records were reconstructed","Equivalent extraction confidence from one uniform table route","Retain extraction method and page provenance for audit","Institution-level extraction and validation outputs","RCI_DATA_README.md"
L09,labels_excerpts,"Normalized labels and contact-stripped source excerpts support audit","Complete current legal names or a contact directory","Use labels for identification only and keep contact tokens excluded","Institution-level extraction","RCI_DATA_README.md"
L10,historical_terminology,"The snapshot contains its own labels and terminology","Current preferred terminology outside the source","Attribute historical wording to the dated source and avoid modernization without a crosswalk","Labels, excerpts and narrative summaries","RCI_DATA_README.md"
L11,zero_jurisdictions,"Four jurisdictions have zero listed codes in the snapshot","No institution, training activity or service exists there","Say zero listed codes in this source snapshot","Jurisdiction count and rank outputs","RCI_DATA_README.md"
L12,concentration_metrics,"HHI and Gini summarize the distribution of listed codes across 36 jurisdictions","Market competition, causal inequality or workforce adequacy","Use the metrics descriptively within the source-defined frame","HHI, Gini and Lorenz outputs","RCI_DATA_README.md"
L13,privacy_endorsement,"A public reproducibility package omits direct contact data","RCI endorsement, institutional endorsement or permission to disclose private data","Make no endorsement claim and publish no private contact or participant data","All public files and summaries","RCI_REPRODUCTION_CHECKLIST.md"
L14,version_relationship,"Research Square v1 and Zenodo v2.0 are two manifestations of one study","Two independent studies or replications","Count one underlying study and cite the version actually used","Portfolio counts and citation metadata","CANONICAL_WORK_RELATIONSHIP_MAP.csv"
