"file","audience","purpose","primary_key","boundary"
"CANONICAL_CITATIONS_CSL.json","citation tools","seven canonical citations","id","source metadata only"
"CANONICAL_WORK_STATUS_MATRIX.csv","profile editors","evidence and review state","record_id","state changes require new evidence"
"CANONICAL_WORK_RELATIONSHIP_MAP.csv","repository and profile editors","version registration and citation edges","source_doi+target_doi_or_url+relation_type","relations do not inflate work count"
"AUTHOR_CONTRIBUTOR_ROLE_MAP.csv","identity reviewers","creator order affiliations ORCIDs and contributor roles","record_id+sequence+name+role","do not infer missing identifiers or authorship"
"RESEARCHER_SUMMARIES.json","discovery systems","source-bounded work summaries","record_id","orientation aid not source of record"
"RESEARCHER_SUMMARIES.jsonld","schema.org consumers","linked-data summary graph","@id","public metadata not endorsement"
"SCHOLARLY_PROFILE_FIELD_MAP.csv","profile editors","exact profile-entry fields and qualifiers","record_id","verify every saved platform state"
"RESEARCH_AUDIENCE_MAP.csv","research communicators","audience relevance and interpretation limits","record_id","audience relevance does not imply endorsement"
"PORTFOLIO_INTEGRITY_MANIFEST.csv","auditors","SHA-256 integrity evidence","file","hashes cover the stated snapshot"
"PUBLIC_VERIFICATION_PROTOCOL.md","profile operators","saved public indexed and cited state checks","not applicable","states remain separate"
