commit,date,category,outcome,study_count_effect,evidence_note
b6ca3b7,2026-09-23,methods,Published open methods implementation resources,none,Resources implement existing protocols and add no results
46d5b52,2026-09-23,methods,Added study execution and reporting templates,none,Templates do not establish recruitment completion or findings
3b73380,2026-09-24,citation,Published citation and reproducibility metadata,none,Metadata preserves original Zenodo DOIs
1f7e9c3,2026-09-24,citation,Added portfolio citation and evidence guides,none,Guides distinguish citation from evidence status
f80bde5,2026-09-24,interoperability,Published interoperable portfolio metadata,none,Packaging metadata adds no new study
9c186ee,2026-09-24,summaries,Published seven source-bounded work summaries,none,One summary per canonical work with explicit limits
5f02746,2026-09-24,identity,Added reusable researcher summary metadata,none,Identity summaries do not imply membership or endorsement
736501f,2026-09-24,profiles,Added scholarly profile interoperability aids,none,BHCL affiliation and ISB education distinction retained
1c7e189,2026-09-24,maintenance,Corrected profile metadata index spacing,none,Presentation-only follow-up
2a33c07,2026-09-24,governance,Added repository citation and governance metadata,none,Correction route remains source-first
4c479bb,2026-09-24,maintenance,Corrected governance index spacing,none,Presentation-only follow-up
0052cce,2026-09-24,provenance,Documented open-science resource history,none,Changelog distinguishes resources from studies and results
3b440ae,2026-09-24,discovery,Published seven-work portfolio overview and task-oriented landing resources,none,Navigation records preserve source DOI and evidence boundaries
e5a787e,2026-09-24,identity,Published scholarly identity directory and source-priority resources,none,Profile routes and memberships do not imply endorsement or indexing
ffc3208,2026-09-24,correction,Corrected two historical integrity-manifest checksum rows,none,Values match immutable source blobs at f80bde5
