rule_id,field_or_output,analytical_unit,inclusion_rule,exclusion_or_non_inference,tie_or_boundary_rule,source_file,source_location,status
RCI-01,institution-level extraction,"One distinct printed institution code","Include each distinct code once; expected n=1068","A code is not assumed to equal one physical campus",,"RCI_DATA_README.md","Analytical unit and validation sections",active
RCI-02,source_serial,"Printed serial associated with an institution code","Retain the complete printed serial sequence 1-1068","Serial is a source locator rather than a quality rank","All boundary values 1 and 1068 must be present","RCI_DATA_README.md","Validation section",active
RCI-03,jurisdiction,"Source heading plus code-prefix cross-check","Assign each included code to one canonical state or UT","Geography is not population-adjusted access","Resolve only with source-page evidence; do not infer from organization name","RCI_DATA_README.md","Geography validation",active
RCI-04,institution_display_name,"Source-supported normalized label","Keep a label when it matches normalized source text or has a documented exception","Label is not asserted as the current legal name","Document every normalization exception and change reason","RCI_DATA_README.md","Label validation",active
RCI-05,source_excerpt,"Contact-stripped source excerpt and page locator","Retain enough source text to audit the name and geography","Do not publish a contact-address directory","Exclude phone, email and other direct contact tokens","RCI_DATA_README.md","Privacy and source provenance",active
RCI-06,jurisdiction_counts,"One count for each of 36 jurisdictions","Include all jurisdictions; 32 have listed entries and four have zero in the snapshot","A zero is not proof that no institution or service exists","Counts must sum to 1068","RCI_DATA_README.md","State/UT count validation",active
RCI-07,display_rank,"Jurisdiction count","Rank counts descending for display","Rank is not an inferential performance ranking","Break equal-count ties alphabetically by jurisdiction label","RCI_DATA_README.md","Output ordering",active
RCI-08,HHI,"Share of 1068 listed codes by jurisdiction","Compute the sum of squared jurisdiction shares across all 36 jurisdictions","Not a competition-law finding or workforce-shortage measure","Include zero jurisdictions in the 36-jurisdiction vector","RCI_DATA_README.md","Concentration metrics",active
RCI-09,Gini,"Distribution of 1068 listed codes across jurisdictions","Compute from the 36 equally weighted jurisdiction counts","Not a population inequity measure","Use the complete non-negative jurisdiction vector including zeros","RCI_DATA_README.md","Concentration metrics",active
RCI-10,version_2_scope,"Institution-entry geography fields","Retain code, serial, geography, source-supported label, excerpt and provenance","Exclude unvalidated programme periods, seats, ownership flags and population rates",,"RCI_DATA_README.md","Version 2 scope",active
